Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","10","Australia","5510","Production","515","Apples","1961","1961","tonnes","295034","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1962","1962","tonnes","326282","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1963","1963","tonnes","349571","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1964","1964","tonnes","367397","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1965","1965","tonnes","360002","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1966","1966","tonnes","376878","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1967","1967","tonnes","369924","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1968","1968","tonnes","373688","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1969","1969","tonnes","422445","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1970","1970","tonnes","424057","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1971","1971","tonnes","442636","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1972","1972","tonnes","360167","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1973","1973","tonnes","426362","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1974","1974","tonnes","331302","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1975","1975","tonnes","362778","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1976","1976","tonnes","274831","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1977","1977","tonnes","301551","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1978","1978","tonnes","258360","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1979","1979","tonnes","344948","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1980","1980","tonnes","298812","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1981","1981","tonnes","306921","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1982","1982","tonnes","294476","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1983","1983","tonnes","300825","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1984","1984","tonnes","266998","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1985","1985","tonnes","352000","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1986","1986","tonnes","288000","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1987","1987","tonnes","324741","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1988","1988","tonnes","299807","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1989","1989","tonnes","323045","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1990","1990","tonnes","319403","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1991","1991","tonnes","288730","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1992","1992","tonnes","316101","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1993","1993","tonnes","327792","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1994","1994","tonnes","306920","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1995","1995","tonnes","316555","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1996","1996","tonnes","280147","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1997","1997","tonnes","353069","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1998","1998","tonnes","308856","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","1999","1999","tonnes","334353","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","2000","2000","tonnes","319652","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","2001","2001","tonnes","302668","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","2002","2002","tonnes","290264","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","2003","2003","tonnes","326072","","Official data"
"QC","Crops","10","Australia","5510","Production","515","Apples","2004","2004","tonnes","285282","","Official data"
